period,startdate,enddate
1,2020-04-06T00:00:00.000,2020-04-12T23:59:59.000
2,2020-04-13T00:00:00.000,2020-04-19T23:59:59.000
3,2020-04-20T00:00:00.000,2020-04-26T23:59:59.000
4,2020-04-27T00:00:00.000,2020-05-03T23:59:59.000
5,2020-05-04T00:00:00.000,2020-05-10T23:59:59.000
6,2020-05-11T00:00:00.000,2020-05-17T23:59:59.000
7,2020-05-18T00:00:00.000,2020-05-24T23:59:59.000
8,2020-05-25T00:00:00.000,2020-05-31T23:59:59.000
9,2020-06-01T00:00:00.000,2020-06-07T23:59:59.000
10,2020-06-08T00:00:00.000,2020-06-14T23:59:59.000
11,2020-06-15T00:00:00.000,2020-06-21T23:59:59.000
12,2020-06-22T00:00:00.000,2020-06-28T23:59:59.000
13,2020-06-29T00:00:00.000,2020-07-05T23:59:59.000
14,2020-07-06T00:00:00.000,2020-07-12T23:59:59.000
15,2020-07-13T00:00:00.000,2020-07-19T23:59:59.000
16,2020-07-20T00:00:00.000,2020-07-26T23:59:59.000
17,2020-07-27T00:00:00.000,2020-08-02T23:59:59.000
18,2020-08-03T00:00:00.000,2020-08-09T23:59:59.000
19,2020-08-10T00:00:00.000,2020-08-16T23:59:59.000
20,2020-08-17T00:00:00.000,2020-08-23T23:59:59.000
21,2020-08-24T00:00:00.000,2020-08-30T23:59:59.000
22,2020-08-31T00:00:00.000,2020-09-06T23:59:59.000
23,2020-09-07T00:00:00.000,2020-09-13T23:59:59.000
24,2020-09-14T00:00:00.000,2020-09-20T23:59:59.000
25,2020-09-21T00:00:00.000,2020-09-27T23:59:59.000
26,2020-09-28T00:00:00.000,2020-10-04T23:59:59.000
27,2020-10-05T00:00:00.000,2020-10-11T23:59:59.000
28,2020-10-12T00:00:00.000,2020-10-18T23:59:59.000
29,2020-10-19T00:00:00.000,2020-10-25T23:59:59.000
30,2020-10-26T00:00:00.000,2020-11-01T23:59:59.000
31,2020-11-02T00:00:00.000,2020-11-08T23:59:59.000
32,2020-11-09T00:00:00.000,2020-11-15T23:59:59.000
33,2020-11-16T00:00:00.000,2020-11-22T23:59:59.000
34,2020-11-23T00:00:00.000,2020-11-29T23:59:59.000
35,2020-11-30T00:00:00.000,2020-12-06T23:59:59.000
36,2020-12-07T00:00:00.000,2020-12-13T23:59:59.000
37,2020-12-14T00:00:00.000,2020-12-20T23:59:59.000
38,2020-12-21T00:00:00.000,2020-12-27T23:59:59.000
39,2020-12-28T00:00:00.000,2021-01-03T23:59:59.000
40,2021-01-04T00:00:00.000,2021-01-10T23:59:59.000
41,2021-01-11T00:00:00.000,2021-01-17T23:59:59.000
42,2021-01-18T00:00:00.000,2021-01-24T23:59:59.000
43,2021-01-25T00:00:00.000,2021-01-31T23:59:59.000
44,2021-02-01T00:00:00.000,2021-02-07T23:59:59.000
45,2021-02-08T00:00:00.000,2021-02-14T23:59:59.000
46,2021-02-15T00:00:00.000,2021-02-21T23:59:59.000
47,2021-02-22T00:00:00.000,2021-02-28T23:59:59.000
48,2021-03-01T00:00:00.000,2021-03-07T23:59:59.000
49,2021-03-08T00:00:00.000,2021-03-14T23:59:59.000
50,2021-03-15T00:00:00.000,2021-03-21T23:59:59.000
51,2021-03-22T00:00:00.000,2021-03-28T23:59:59.000
52,2021-03-29T00:00:00.000,2021-04-04T23:59:59.000
53,2021-04-05T00:00:00.000,2021-04-11T23:59:59.000
54,2021-04-12T00:00:00.000,2021-04-18T23:59:59.000
55,2021-04-19T00:00:00.000,2021-04-25T23:59:59.000
56,2021-04-26T00:00:00.000,2021-05-02T23:59:59.000
57,2021-05-03T00:00:00.000,2021-05-09T23:59:59.000
58,2021-05-10T00:00:00.000,2021-05-16T23:59:59.000
59,2021-05-17T00:00:00.000,2021-05-23T23:59:59.000
60,2021-05-24T00:00:00.000,2021-05-30T23:59:59.000
61,2021-05-31T00:00:00.000,2021-06-06T23:59:59.000
62,2021-06-07T00:00:00.000,2021-06-13T23:59:59.000
63,2021-06-14T00:00:00.000,2021-06-20T23:59:59.000
64,2021-06-21T00:00:00.000,2021-06-27T23:59:59.000
65,2021-06-28T00:00:00.000,2021-07-04T23:59:59.000
66,2021-07-05T00:00:00.000,2021-07-11T23:59:59.000
67,2021-07-12T00:00:00.000,2021-07-18T23:59:59.000
68,2021-07-19T00:00:00.000,2021-07-25T23:59:59.000
69,2021-07-26T00:00:00.000,2021-08-01T23:59:59.000
70,2021-08-02T00:00:00.000,2021-08-08T23:59:59.000
71,2021-08-09T00:00:00.000,2021-08-15T23:59:59.000
72,2021-08-16T00:00:00.000,2021-08-22T23:59:59.000
73,2021-08-23T00:00:00.000,2021-08-29T23:59:59.000
74,2021-08-30T00:00:00.000,2021-09-05T23:59:59.000
75,2021-09-06T00:00:00.000,2021-09-12T23:59:59.000
76,2021-09-13T00:00:00.000,2021-09-19T23:59:59.000
77,2021-09-20T00:00:00.000,2021-09-26T23:59:59.000
78,2021-09-27T00:00:00.000,2021-10-03T23:59:59.000
79,2021-10-04T00:00:00.000,2021-10-10T23:59:59.000
